p,large_mean,large_decom
0,Inf,Inf
1e-06,60847.1338006673,833753.05824713
1e-05,19241.560706164,263655.739184321
0.0001,6084.73930759168,83374.8503705164
0.001,1924.23802734472,26364.1312373595
0.002,1360.70032735309,18641.2257686357
0.003,1111.0550123957,15219.6560816905
0.004,962.24332499831,13179.8805772706
0.005,860.693696366709,11787.7923249431
0.006,785.736141921821,10760.1385353251
0.007,727.481703916435,9961.40231862318
0.008,680.526201754876,9317.52404944289
0.009,641.63396963789,8784.16083683404
0.01,608.73373597461,8332.92656019034
0.02,430.626311172048,5889.01834803294
0.03,351.758057936193,4805.71368729431
0.04,304.764763193055,4159.57925386187
0.05,272.709812181539,3718.39513996107
0.06,249.058931583233,3392.55049098794
0.07,230.686232269456,3139.16823568671
0.08,215.883590381466,2934.81375000345
0.09,203.628372519547,2765.45421104058
0.1,193.266002175136,2622.10558194908
0.11,184.355478215971,2498.71394381082
0.12,176.587400103175,2391.03110994025
0.13,169.737434423865,2295.97629071427
0.14,163.63843030502,2211.25353701601
0.15,158.162949540609,2135.11203966361
0.16,153.211906057804,2066.19023668349
0.17,148.706940440254,2003.4111627097
0.18,144.585159956639,1945.91025422701
0.19,140.795423096671,1892.98434808357
0.2,137.295659761243,1844.05489222636
0.21,134.050902374731,1798.64091325312
0.22,131.031815274005,1756.33882300125
0.23,128.213579894471,1716.80710903862
0.24,125.575038304151,1679.75457170871
0.25,123.098027189442,1644.93117590495
0.26,120.766854185789,1612.1208572833
0.27,118.567881943449,1581.13580783721
0.28,116.489194678284,1551.81189422299
0.29,114.520328548373,1524.00495266144
0.3,112.652051903929,1497.587768861
0.325,108.369949119698,1436.91524988231
0.35,104.562338466829,1382.80289585178
0.375,101.148768221555,1334.14082549659
0.4,98.0666975908801,1290.06575421138
0.425,95.2666786960363,1249.89471821917
0.45,92.7090333938344,1213.07934880015
0.475,90.3615060695796,1179.17356652114
0.5,88.1975708241669,1147.81027562738
0.525,86.1951878460329,1118.68423761497
0.55,84.3358745962849,1091.53927644237
0.575,82.604001777793,1066.15857729256
0.6,80.9862525157672,1042.35723197246
0.625,79.4712018521394,1019.97644079036
0.65,78.0489861609842,998.878952704647
0.675,76.7110406204783,978.94544282745
0.7,75.4498887908808,960.071607714543
0.725,74.2589725122978,942.165816161961
0.75,73.132513309687,925.14719414725
0.775,72.06539864374,908.944052154723
0.8,71.0530879212558,893.492584802245
0.825,70.0915343445967,878.735788736412
0.85,69.1771195520419,864.622556768541
0.875,68.3065986596572,851.106915295749
0.9,67.4770538174862,838.147378963607
0.925,66.6858547788632,825.706401840769
0.95,65.9306252808479,813.749908494758
0.975,65.2092142673841,802.246891571366
1,64.5196711705475,791.169065008118
