p,small_mean,small_enum,small_decom
0,Inf,Inf,Inf
1e-06,3004.62628584793,3125.07735109325,4045.56440577173
1e-05,950.146850128036,988.23655047037,1279.31969754085
0.0001,300.46468794727,312.508847564552,404.556103750901
0.001,95.0211981252956,98.8271704683116,127.930904563899
0.002,67.1947868832465,69.8838742978798,90.4600493482818
0.003,54.8681142819156,57.0619956874373,73.8596998348931
0.004,47.5204731442901,49.4189146649685,63.963838438753
0.005,42.5065489059495,44.203210582473,57.2105152095451
0.006,38.8056825284128,40.3532773452114,52.2253769786919
0.007,35.9295718042202,37.3612192409457,48.3508971158448
0.008,33.6113676707067,34.9494778771031,45.2277424991534
0.009,31.6912994180375,32.9518694430996,42.6407659810081
0.01,30.0670923395449,31.2620132695216,40.4522423343227
0.02,21.2754180466282,22.1135456814945,28.6016498519227
0.03,17.3834036710016,18.0621499441149,23.3511861201632
0.04,15.0649767844319,15.6479344617286,20.2210206424082
0.05,13.4839508590839,14.0010049883321,18.0847107764498
0.06,12.3177369098124,12.7857450950821,16.5076195930753
0.07,11.4120220931169,11.8415991642025,15.2818021027484
0.08,10.6824876075987,11.0808316019014,14.293616239502
0.09,10.0786554949183,10.4509152313973,13.4750188906255
0.1,9.56821708394733,9.91822765260075,12.7824519730295
0.11,9.12940653812697,9.46011650633933,12.186566576215
0.12,8.74695404150508,9.06068899742231,11.6667698180165
0.13,8.40978866990824,8.70842178035738,11.2081291571837
0.14,8.10966190693523,8.39472870019676,10.7995172361638
0.15,7.84028529353662,8.11306346737129,10.4324495470262
0.16,7.59676966436104,7.85833612909646,10.1003285310952
0.17,7.37524876020822,7.62652138802102,9.79793617091082
0.18,7.17261960766384,7.41438842220266,9.52108396595904
0.19,6.98635913757768,7.21931003069423,9.26636567362339
0.2,6.81439192349667,7.03912501580827,9.03097896151884
0.21,6.65499301041462,6.87203699182964,8.81259436605838
0.22,6.50671533730068,6.71653888890139,8.60925740890698
0.23,6.36833472051521,6.57135567480152,8.41931439108104
0.24,6.23880758806701,6.43540036070653,8.24135538042958
0.25,6.11723811343808,6.3077397897196,8.07416987448729
0.26,6.00285237454325,6.18756773698267,7.91671193742464
0.27,5.89497782959813,6.0741835438849,7.76807250788067
0.28,5.79302686366509,5.96697498926676,7.62745719727755
0.29,5.69648348496049,5.86540443911299,7.49416833679088
0.3,5.60489248231353,5.76899755812715,7.36759034435356
0.325,5.39504278383126,5.54792567619516,7.07707143428029
0.35,5.20854289985882,5.35120362533651,6.81821101499702
0.375,5.0414265068457,5.17469703513243,6.58564118286525
0.4,4.89061052548171,5.01519164584555,6.37518774559748
0.425,4.75365745545667,4.87014579575335,6.18354924455898
0.45,4.6286114595949,4.73751969836365,6.00807553221416
0.475,4.51388259553742,4.61565483858432,5.84661135580486
0.5,4.4081633285646,4.50318708461406,5.69738353283459
0.525,4.31036720118789,4.39898264541405,5.55891805177049
0.55,4.21958303037759,4.30209047439542,5.42997814817493
0.575,4.13504019111792,4.21170605287939,5.30951735931118
0.6,4.05608194895362,4.12714359813181,5.19664345540567
0.625,3.9821447255062,4.04781444089738,5.09059038953458
0.65,3.91274179783889,3.97321011880329,4.99069624103122
0.675,3.84745035324732,3.9028886812794,4.89638569540339
0.7,3.78590111277675,3.83646421205367,4.80715599773019
0.725,3.72776994216944,3.77359765419972,4.72256559394488
0.75,3.672771015615,3.71399004423496,4.64222487254111
0.775,3.62065120377092,3.65737648712834,4.56578856257772
0.8,3.57118543519047,3.60352135351795,4.49294944880488
0.825,3.52417283779104,3.55221425501125,4.42343314243383
0.85,3.47943351000147,3.50326667626908,4.35699370419538
0.875,3.43680580370484,3.45650914015116,4.29340996023411
0.9,3.39614402584424,3.41178880966862,4.23248238484478
0.925,3.35731648458117,3.36896744892641,4.174030449777
0.95,3.32020382063204,3.32791968157415,4.11789035975961
0.975,3.28469757591007,3.28853149647489,4.06391310945131
1,3.25069896063981,3.25069896053443,4.01196280925088
